,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Avg-Book-Rating
1991,"Novocento, Un Monologo",Alessandro Baricco,2003,Distribooks Inc,http://images.amazon.com/images/P/8807813025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8807813025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8807813025.01.LZZZZZZZ.jpg,9.0
794,Free,Paul Vincent,2003,Upfront Publishing,http://images.amazon.com/images/P/1844262553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.LZZZZZZZ.jpg,8.0
1051,Love You Forever,Robert N. Munsch,1986,Firefly Books Ltd,http://images.amazon.com/images/P/0920668372.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0920668372.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0920668372.01.LZZZZZZZ.jpg,6.612903225806452
2439,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,http://images.amazon.com/images/P/0877017883.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877017883.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877017883.01.LZZZZZZZ.jpg,6.461538461538462
751,Jitterbug Perfume,TOM ROBBINS,1990,Bantam,http://images.amazon.com/images/P/0553348981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553348981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553348981.01.LZZZZZZZ.jpg,5.76
850,The Stand (The Complete and Uncut Edition),Stephen King,1990,Doubleday Books,http://images.amazon.com/images/P/0385199570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.LZZZZZZZ.jpg,5.583333333333333
2390,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,Chronicle Books,http://images.amazon.com/images/P/0811801802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811801802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811801802.01.LZZZZZZZ.jpg,5.483870967741935
876,Balzac and the Little Chinese Seamstress,Dai Sijie,2001,Alfred A. Knopf,http://images.amazon.com/images/P/037541309X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037541309X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037541309X.01.LZZZZZZZ.jpg,5.466666666666667
744,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg,5.342592592592593
511,"House Atreides (Dune: House Trilogy, Book 1)",Brian Herbert,2000,Spectra Books,http://images.amazon.com/images/P/0553580272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553580272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553580272.01.LZZZZZZZ.jpg,5.28
1619,The Metamorphosis (Bantam Classics),FRANZ KAFKA,1972,Bantam,http://images.amazon.com/images/P/0553213695.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213695.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213695.01.LZZZZZZZ.jpg,5.166666666666667
919,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers,http://images.amazon.com/images/P/039480001X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.LZZZZZZZ.jpg,5.129032258064516
2072,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,1994,Perennial,http://images.amazon.com/images/P/0060976241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060976241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060976241.01.LZZZZZZZ.jpg,5.125
246,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,http://images.amazon.com/images/P/0140620427.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140620427.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140620427.01.LZZZZZZZ.jpg,5.071428571428571
139,The Little Prince,Antoine de Saint-ExupÃ©ry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg,5.051724137931035
1941,Illuminati.,Dan Brown,2003,LÃ?Â¼bbe,http://images.amazon.com/images/P/3404148665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404148665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404148665.01.LZZZZZZZ.jpg,5.0
344,JITTERBUG PERFUME,TOM ROBBINS,1985,Bantam,http://images.amazon.com/images/P/0553268449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268449.01.LZZZZZZZ.jpg,4.933333333333334
2565,Killing Dance (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,Ace Books,http://images.amazon.com/images/P/0441004520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441004520.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441004520.01.LZZZZZZZ.jpg,4.916666666666667
1469,The Darwin Awards: Evolution in Action,Wendy Northcutt,2002,Plume Books,http://images.amazon.com/images/P/0452283442.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452283442.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452283442.01.LZZZZZZZ.jpg,4.888888888888889
1850,"Blood of the Fold (Sword of Truth, Book 3)",Terry Goodkind,1997,Tor Fantasy,http://images.amazon.com/images/P/0812551478.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812551478.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812551478.01.LZZZZZZZ.jpg,4.863636363636363
2181,Something Wicked This Way Comes,Ray Bradbury,1998,Eos,http://images.amazon.com/images/P/0380729407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380729407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380729407.01.LZZZZZZZ.jpg,4.809523809523809
789,Atlas Shrugged,Ayn Rand,1996,Signet Book,http://images.amazon.com/images/P/0451191145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451191145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451191145.01.LZZZZZZZ.jpg,4.7631578947368425
932,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,4.752941176470588
2386,Kindred (Black Women Writers Series),Octavia Butler,1988,Beacon Press,http://images.amazon.com/images/P/0807083054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807083054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807083054.01.LZZZZZZZ.jpg,4.7368421052631575
1198,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,4.733766233766234
1483,BAG OF BONES : A NOVEL,Stephen King,1998,Scribner,http://images.amazon.com/images/P/0684853507.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684853507.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684853507.01.LZZZZZZZ.jpg,4.71875
2614,On the Banks of Plum Creek,Laura Ingalls Wilder,1953,HarperTrophy,http://images.amazon.com/images/P/0064400042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400042.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400042.01.LZZZZZZZ.jpg,4.714285714285714
1180,Of Mice and Men,John Steinbeck,2002,Penguin Books,http://images.amazon.com/images/P/0142000671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142000671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142000671.01.LZZZZZZZ.jpg,4.703703703703703
1393,84 Charing Cross Road,Helene Hanff,0,Warner Books> C/o Little Br,http://images.amazon.com/images/P/0860074382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0860074382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0860074382.01.LZZZZZZZ.jpg,4.661290322580645
588,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,http://images.amazon.com/images/P/3257228007.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257228007.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257228007.01.LZZZZZZZ.jpg,4.6
2808,Crazy,Benjamin Lebert,2000,"Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag",http://images.amazon.com/images/P/3462028189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3462028189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3462028189.01.LZZZZZZZ.jpg,4.6
384,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor,http://images.amazon.com/images/P/0385498721.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385498721.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385498721.01.LZZZZZZZ.jpg,4.578947368421052
1884,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax,http://images.amazon.com/images/P/0786866845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786866845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786866845.01.LZZZZZZZ.jpg,4.571428571428571
1797,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,HarperCollins,http://images.amazon.com/images/P/0064471047.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064471047.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064471047.01.LZZZZZZZ.jpg,4.552631578947368
1971,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books,http://images.amazon.com/images/P/051513452X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051513452X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051513452X.01.LZZZZZZZ.jpg,4.55
1295,The Lord of the Rings (Movie Art Cover),J.R.R. Tolkien,2001,Houghton Mifflin Company,http://images.amazon.com/images/P/0618129022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618129022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618129022.01.LZZZZZZZ.jpg,4.541666666666667
34,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg,4.533333333333333
2456,Pride and Prejudice (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,http://images.amazon.com/images/P/0140620222.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140620222.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140620222.01.LZZZZZZZ.jpg,4.529411764705882
1798,One Last Time: A Psychic Medium Speaks to Those We Have Loved and Lost,John Edward,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425166929.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425166929.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425166929.01.LZZZZZZZ.jpg,4.5
1087,The Worst-Case Scenario Survival Handbook,Joshua Piven,1999,Chronicle Books,http://images.amazon.com/images/P/0811825558.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811825558.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811825558.01.LZZZZZZZ.jpg,4.5
849,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books,http://images.amazon.com/images/P/0345272579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.LZZZZZZZ.jpg,4.487804878048781
923,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,http://images.amazon.com/images/P/0684853515.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684853515.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684853515.01.LZZZZZZZ.jpg,4.483870967741935
1306,The Jungle (Bantam Classics),Upton Sinclair,1981,Bantam,http://images.amazon.com/images/P/0553212451.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553212451.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553212451.01.LZZZZZZZ.jpg,4.470588235294118
1417,All I Need to Know I Learned from My Cat,Suzy Becker,1990,Workman Publishing,http://images.amazon.com/images/P/0894808249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0894808249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0894808249.01.LZZZZZZZ.jpg,4.4411764705882355
1167,A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1986,W. W. Norton &amp; Company,http://images.amazon.com/images/P/0393312836.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393312836.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393312836.01.LZZZZZZZ.jpg,4.428571428571429
